s;w
2367;126
2368;220
2369;182
2370;163
2371;190
2372;124
2373;189
2374;136
2375;188
2376;128
2377;212
2378;168
2379;170
2380;156
2381;145
2382;222
2383;120
2384;106
2385;148
2386;148
2387;84
2388;169
2389;133
2390;168
2391;92
2392;114
2393;125
2394;63
2395;94
2396;129
2397;60
2398;64
2399;64
2400;55
2401;49
2402;36
2403;22
2404;10
2405;28
2406;35
2407;21
2408;24
2409;11
2410;15
2411;26
2412;51
2413;127
2414;146
2415;117
2416;170
2417;145
2418;114
2419;102
2420;176
2421;207
2422;132
2423;163
2424;196
2425;79
2426;108
2427;52
2428;106
2429;104
2430;113
2431;51
2432;120
2433;203
2434;170
2435;157
2436;152
2437;133
2438;149
2439;184
2440;177
2441;155
2442;196
2443;126
2444;133
2445;146
2446;170
2447;149
2448;141
2449;151
2450;168
2451;157
2452;157
2453;173
2454;129
2455;140
2456;127
2457;134
2458;127
2459;149
2460;154
2461;151
2462;117
2463;134
2464;163
2465;142
2466;142
2467;178
2468;145
2469;153
2470;147
2471;186
2472;171
2473;139
2474;147
2475;156
2476;161
2477;123
2478;143
2479;142
2480;149
2481;140
2482;158
2483;149
2484;164
2485;156
2486;145
2487;131
2488;135
2489;140
2490;164
2491;197
2492;156
2493;166
2494;172
2495;143
2496;143
2497;148
2498;135
2499;146
2500;142
2501;163
2502;152
2503;154
2504;155
2505;161
2506;140
2507;131
2508;126
2509;136
2510;140
2511;144
2512;140
2513;130
2514;179
2515;100
2516;192
2517;146
2518;158
2519;106
2520;179
2521;144
2522;118
2523;145
2524;141
2525;141
2526;165
2527;145
2528;142
2529;139
2530;147
2531;137
2532;184
2533;134
2534;166
2535;178
2536;163
2537;164
2538;181
2539;151
2540;150
2541;189
2542;176
2543;182
2544;164
2545;166
2546;176
2547;166
2548;172
2549;159
2550;153
2551;159
2552;145
2553;163
2554;163
2555;158
2556;140
2557;161
2558;189
2559;166
2560;131
2561;154
2562;167
2563;114
2564;182
2565;200
2566;154
2567;170
2568;170
2569;146
2570;145
2571;153
2572;171
2573;148
2574;168
2575;191
2576;164
2577;171
2578;151
2579;156
2580;164
2581;174
2582;153
2583;157
2584;157
2585;149
2586;173
2587;173
2588;164
2589;181
2590;181
2591;193
2592;155
2593;213
2594;179
2595;202
2596;164
2597;183
2598;183
2599;191
2600;186
2601;194
2602;202
2603;183
2604;196
2605;191
2606;183
2607;174
2608;174
2609;234
2610;140
2611;200
2612;173
2613;196
2614;181
2615;161
2616;175
2617;187
2618;172
2619;190
2620;169
2621;161
2622;182
2623;184
